,codigo,marca,tipo,categoria,preco_unitario,custo,obs
157,CAHA0004816,3 corações,Espumadores de leite,16,48.9,20.0,
158,CAHA0004817,3 corações,Espumadores de leite,17,48.9,20.0,
159,CAHA0004518,3 corações,Espumadores de leite,18,45.9,19.7,
160,CAHA0004519,3 corações,Espumadores de leite,19,45.9,19.7,
161,CAHA0004520,3 corações,Espumadores de leite,20,45.9,19.7,
162,CAHA0004521,3 corações,Espumadores de leite,21,45.9,19.7,
163,MOMU0004.1,Café brasileiro,Café Solúvel,1,4.99,1.2,
164,MOMU0003.2,Café brasileiro,Café Solúvel,2,3.99,1.3,
165,MOLO0006.3,Santa Clara,Café Solúvel,3,6.99,2.3,
166,TELG000111,tres,Café gelado,1,110.0,29.7,
167,CAHA000481,3 corações,Espumadores de leite,1,48.9,20.0,
168,CAHA000482,3 corações,Espumadores de leite,2,48.9,20.0,
169,MOSP000221,Spectre,Monitor,1,229.99,59.8,
170,MOSP000132,Spectre,Monitor,2,132.72,38.5,
171,MOSP0007.3,Spectre,Café Solúvel,3,7.99,2.0,
172,TELG000201,tres,Café gelado,1,20.0,4.6,
173,MOLG000782,tres,Monitor,2,789.99,221.2,
174,BEHA000481,3 corações,Bermuda,1,48.9,20.0,
175,BEHA000482,3 corações,Bermuda,2,48.9,20.0,
176,CAHA000123,3 corações,Espumadores de leite,3,12.9,6.1,
177,CAHA000124,3 corações,Espumadores de leite,4,12.9,6.1,
178,NOAC000791,Café 3 fazendas,Café aromatizado,1,799.0,159.8,
179,NOMU000192,Café brasileiro,Café aromatizado,2,199.0,41.8,
180,NOHP000943,Letícia,Café aromatizado,3,949.0,237.3,
181,NOAP000144,Café iguaçu,Café aromatizado,4,1499.0,419.7,
182,NOAP000255,Café iguaçu,Café aromatizado,5,2549.0,688.2,
183,NOAP000646,Café iguaçu,Café aromatizado,6,6400.0,1280.0,
184,NOAP000247,Café iguaçu,Café aromatizado,7,2499.0,599.8,
185,NOAP000128,Café iguaçu,Café aromatizado,8,1299.0,337.7,
186,NOAP000599,Café iguaçu,Café aromatizado,9,5999.0,1679.7,
187,TETC000121,Kimimo,Café gourmet,1,1200.0,240.0,
188,TEVI000152,Vizio,Café gourmet,2,159.0,36.6,
189,TEVI000443,Vizio,Café gourmet,3,440.0,110.0,
190,TEVI000244,Vizio,Café gourmet,4,240.0,69.6,
191,TEIN000255,Insignia,Café gourmet,5,250.0,65.0,
192,TEIN000346,Insignia,Café gourmet,6,343.0,82.3,
193,TEIN000187,Insignia,Café gourmet,7,189.99,45.6,
194,TELG000398,tres,Café gourmet,8,390.0,93.6,
195,TELG000559,tres,Café gourmet,9,550.0,148.5,
196,TESO0001210,3 corações,Café gourmet,10,1200.0,240.0,
197,TESO0003311,3 corações,Café gourmet,11,3300.0,726.0,
198,TESO0006012,3 corações,Café gourmet,12,600.0,138.0,
199,TESO0005913,3 corações,Café gourmet,13,599.0,131.8,
200,REAP000101,Café iguaçu,Café especial,1,1080.0,280.8,
201,REAP000702,Café iguaçu,Café especial,2,700.0,182.0,
202,REAP000643,Café iguaçu,Café especial,3,640.0,179.2,
203,REAP000504,Café iguaçu,Café especial,4,500.0,110.0,
204,REAP000485,Café iguaçu,Café especial,5,480.0,120.0,
205,REAP000446,Café iguaçu,Café especial,6,440.0,118.8,
206,REAP000327,Café iguaçu,Café especial,7,320.0,92.8,
207,REGA000928,Garmin,Café especial,8,920.0,239.2,
208,REGA000809,Garmin,Café especial,9,800.0,160.0,
209,RESA0002410,.br,Café especial,10,240.0,55.2,
210,CaCA000581,Canon,Café Solúvel,1,589.0,176.7,
211,CaCA000502,Canon,Café Solúvel,2,509.0,112.0,
212,CaCA000483,Canon,Café Solúvel,3,489.0,107.6,
213,CaCA000894,Canon,Café Solúvel,4,899.0,260.7,
214,MOLO000151,Santa Clara,Café Solúvel,1,15.99,5.1,
215,TELG000101,tres,Café gelado,1,10.0,2.5,
216,MOSA000191,.br,Monitor,1,199.99,52.0,
217,CaNI000131,Bandeira,Café Solúvel,1,1396.0,349.0,
218,CaNI000272,Bandeira,Café Solúvel,2,2796.95,643.3,
219,CaNI000793,Bandeira,Café Solúvel,3,796.95,239.1,
220,CaNI000214,Bandeira,Café Solúvel,4,2196.95,527.3,
221,MODE000191,Amigo,Café Solúvel,1,19.99,5.8,
222,TEMU000211,Café brasileiro,Café gelado,1,21.99,4.4,
223,MOSA000121,.br,Monitor,1,129.99,45.5,
224,MODE000141,Amigo,Café Solúvel,1,14.99,4.6,
225,TEMU0008.1,Café brasileiro,Café gelado,1,8.99,1.8,
226,MOSA000171,.br,Monitor,1,179.99,46.8,
227,MODE000281,Amigo,Café Solúvel,1,28.99,8.7,
228,CaNI000251,Bandeira,Café Solúvel,1,2596.95,811.1,
229,CaSO000212,3 corações,Café Solúvel,2,2198.0,461.6,
230,CaSO000153,3 corações,Café Solúvel,3,1598.0,479.4,
231,CaSO000124,3 corações,Café Solúvel,4,1298.0,298.5,
232,CaSO000165,3 corações,Café Solúvel,5,1698.0,441.5,
233,CaSO000996,3 corações,Café Solúvel,6,998.0,299.4,
234,CaSO000347,3 corações,Café Solúvel,7,3498.0,874.5,
235,ACAP000191,Café iguaçu,Cápsulas de café,1,19.0,3.8,
236,ACAP000222,Café iguaçu,Cápsulas de café,2,22.0,4.4,
237,ACAP000293,Café iguaçu,Cápsulas de café,3,29.0,5.8,
238,ACAP000194,Café iguaçu,Cápsulas de café,4,19.0,3.8,
239,ACAP000295,Café iguaçu,Cápsulas de café,5,29.0,5.8,
240,ACSA000196,.br,Cápsulas de café,6,19.99,6.5,
241,ACSA000247,.br,Cápsulas de café,7,24.99,8.2,
242,ACSA000298,.br,Cápsulas de café,8,29.99,8.9,
243,ACSA0008.9,.br,Cápsulas de café,9,8.9,2.4,
244,ACSA0001410,.br,Cápsulas de café,10,14.9,3.2,
245,ACSA0001211,.br,Cápsulas de café,11,12.5,2.8,
246,NOAP000501,Café iguaçu,Café aromatizado,1,5099.0,1070.8,
247,NODE000502,Amigo,Café aromatizado,2,5099.0,1478.7,
248,NOAC000123,Café 3 fazendas,Café aromatizado,3,1249.0,374.7,
249,NODE000544,Amigo,Café aromatizado,4,549.0,137.3,
250,NOSA000395,.br,Café aromatizado,5,399.0,103.7,
251,NOLE000346,Café Cirol,Café aromatizado,6,349.0,101.2,
252,NOSA000547,.br,Café aromatizado,7,549.0,115.3,
253,NOLE000298,Café Cirol,Café aromatizado,8,299.0,65.8,
254,NOMI000999,Bandeira,Café aromatizado,9,999.0,239.8,
255,NOMI0002110,Bandeira,Café aromatizado,10,2199.0,637.7,
256,NOMI0001911,Bandeira,Café aromatizado,11,1999.0,419.8,
257,NOMI0003612,Bandeira,Café aromatizado,12,3600.0,972.0,
258,NOLE0009913,Café Cirol,Café aromatizado,13,999.0,269.7,
259,NOAC0007014,Café 3 fazendas,Café aromatizado,14,700.0,154.0,
260,NOCO0003815,Compaq,Café aromatizado,15,380.0,114.0,
261,NOPO0003416,Positivo,Café aromatizado,16,349.0,104.7,
262,NOPO0003217,Positivo,Café aromatizado,17,320.0,80.0,
263,NOVA0003118,Vaio,Café aromatizado,18,319.0,86.1,
264,NOHP0004919,Letícia,Café aromatizado,19,4999.0,999.8,
265,NOAS0001920,Café Fort,Café aromatizado,20,1999.0,539.7,
266,CEMO000101,Café Itamaraty,Café moído,1,100.0,24.0,
267,CEMO000152,Café Itamaraty,Café moído,2,150.0,45.0,
268,CEMO000893,Café Itamaraty,Café moído,3,89.0,26.7,
269,CEMO000114,Café Itamaraty,Café moído,4,119.0,29.8,
270,CEMO000695,Café Itamaraty,Café moído,5,69.0,17.3,
271,CEMO000996,Café Itamaraty,Café moído,6,99.0,28.7,
272,CEMO000197,Café Itamaraty,Café moído,7,199.0,39.8,
273,NOAS000691,Café Fort,Café aromatizado,1,6999.0,1399.8,
274,NOAS000702,Café Fort,Café aromatizado,2,700.0,161.0,
275,NOLG000133,tres,Café aromatizado,3,1393.0,334.3,
276,NOHP000824,Letícia,Café aromatizado,4,820.0,164.0,
277,NOHP000165,Letícia,Café aromatizado,5,1600.0,368.0,
278,NODE000126,Amigo,Café aromatizado,6,1220.0,244.0,
279,NOLE000147,Café Cirol,Café aromatizado,7,1487.0,386.6,
280,NOLE000248,Café Cirol,Café aromatizado,8,249.0,49.8,
281,NORA000399,Razer,Café aromatizado,9,3999.0,1079.7,
282,NORA0001110,Razer,Café aromatizado,10,1199.0,299.8,
283,NORA0001911,Razer,Café aromatizado,11,1999.0,439.8,
284,NORA0007912,Razer,Café aromatizado,12,7999.0,2159.7,
285,NOLE0001713,Café Cirol,Café aromatizado,13,1750.0,455.0,
286,NODE0001614,Amigo,Café aromatizado,14,1600.0,352.0,
287,ACAP000391,Café iguaçu,Cápsulas de café,1,39.99,11.9,
288,ACAP000192,Café iguaçu,Cápsulas de café,2,19.0,3.8,
289,ACSA0009.3,.br,Cápsulas de café,3,9.55,2.1,
290,CEMO000271,Café Itamaraty,Café moído,1,279.0,72.5,
291,FOMO000152,Café Itamaraty,Café descafeinado,2,150.0,33.0,
292,CEMO000223,Café Itamaraty,Café moído,3,229.0,55.0,
